images,English,Hindi
images/1.jpg,Introducing Sophie- A renowned scientist,सोफी का परिचय- एक प्रसिद्ध वैज्ञानिक
images/2.jpg,Sophie working on a experiment to cure mental illness in her lab,सोफी अपनी प्रयोगशाला में मानसिक बीमारी को ठीक करने के लिए एक प्रयोग पर काम कर रही है
images/3.jpg,Working on the experment ,प्रयोग पर काम करना
images/4.jpg,Sophie talking to her dearest friend Emma,सोफी अपने सबसे प्यारे दोस्त एम्मा से बात कर रही है
images/5.jpg,Introducing Emma- Who has experiences a heartbreak,परिचय एम्मा- जिसे दिल टूटने का अनुभव है
images/6.jpg,Emma shares Sophie about her anxiety issues,एम्मा ने सोफी को अपनी चिंता के मुद्दों के बारे में साझा किया
images/7.jpg,Emma sharing at her lover's photo ,एम्मा अपने प्रेमी की तस्वीर पर साझा करती है
images/8.jpg,Emma is depressed now.,एम्मा अब उदास है।
images/9.jpg,Sophie explaining Emma about her research,सोफी ने एम्मा को अपने शोध के बारे में समझाया
images/10.jpg,"Sophie calls Dr. Samir who is the lead reasearcher, but he is on a vacation","सोफी डॉ। समीर को बुलाता है जो प्रमुख रेकर्चर है, लेकिन वह एक छुट्टी पर है"
images/11.jpg,"As advised by Dr. Samir sophie adds a solution, but HERE SHE MISTAKENLY ADDS SUPERNATURAL SUBSTANCE","जैसा कि डॉ। समीर सोफी द्वारा सलाह दी गई है, एक समाधान जोड़ता है, लेकिन यहां वह गलती से अलौकिक पदार्थ जोड़ता है"
images/12.jpg,THE SUBSTANCE: A mixture of supernatural spirits,पदार्थ: अलौकिक आत्माओं का मिश्रण
images/13.jpg,Sophie thinking that she succeeded in making the cure for mental illness,सोफी यह सोचकर कि वह मानसिक बीमारी का इलाज करने में सफल रही
images/14.jpg,Emma visits the clinic and Sophie shows her the solution ,एम्मा क्लिनिक का दौरा करती है और सोफी उसे समाधान दिखाती है
images/15.jpg,Emma agrees to take the solution,एम्मा समाधान लेने के लिए सहमत है
images/16.jpg,Emma feeling stress free after taking the solution,समाधान लेने के बाद एम्मा तनाव मुक्त महसूस कर रही है
images/17.jpg,Sophie Notices solution is working correctly on Emma.,सोफी नोटिस समाधान एम्मा पर सही ढंग से काम कर रहा है।
images/18.jpg,Emma witnesses that she saw the SPIRIT in the mirror and she is possessed.,एम्मा गवाह है कि उसने आत्मा को दर्पण में देखा था और उसके पास है।
images/19.jpg,Emma is in control of the spirit's energy,एम्मा आत्मा की ऊर्जा के नियंत्रण में है
images/20.jpg,Sophie throws a success party about her research,सोफी ने अपने शोध के बारे में एक सफलता पार्टी फेंकी
images/21.jpg,Emma's suddenly behaving irritable and angry during the party,पार्टी के दौरान एम्मा अचानक चिड़चिड़ा और गुस्से में व्यवहार कर रही है
images/22.jpg,Sophie notices Emma's suspicious behavior,सोफी ने एम्मा के संदिग्ध व्यवहार को नोटिस किया
images/23.jpg,Emma suddenly becoming aggressive towards Sophie while she was offering her a drink,"एम्मा अचानक सोफी के प्रति आक्रामक हो रही थी, जबकि वह उसे एक पेय दे रही थी"
images/24.jpg,Under the influence of Spirit: Emma adds THE SUBSTANCE in Sophie's drink.,आत्मा के प्रभाव के तहत: एम्मा सोफी के पेय में पदार्थ जोड़ती है।
images/25.jpg,Emma offers her THE SUBSTANCE to Sophie,एम्मा उसे सोफी को पदार्थ प्रदान करती है
images/26.jpg,Sophie feeling unconsious now,सोफी अब बेहोश महसूस कर रही है
images/27.jpg,"Sophie sees the spirit in the mirror now, but since she is mental strong she could overcome the sprits negative energy","सोफी अब दर्पण में आत्मा को देखता है, लेकिन चूंकि वह मानसिक मजबूत है"
images/28.jpg,Sophie shares the entire incident with Dr. Samir,सोफी ने पूरी घटना को डॉ। समीर के साथ साझा किया
images/29.jpg,Dr. Samir realizes that Sophie added the supernatural substance in the solution,डॉ। समीर को पता चलता है कि सोफी ने समाधान में अलौकिक पदार्थ जोड़ा
images/30.jpg,Dr. Samir tells Sophie about the ancestral substance and its dark origins,डॉ। समीर ने सोफी को पैतृक पदार्थ और उसके अंधेरे मूल के बारे में बताया
images/31.jpg,"To save Emma, Sophie and Dr. Samir started creating the antidote","एम्मा को बचाने के लिए, सोफी और डॉ। समीर ने एंटीडोट बनाना शुरू कर दिया"
images/32.jpg,Spirit noticing they both making the antidote,स्पिरिट वे दोनों एंटीडोट बना रहे हैं
images/33.jpg,"Sophie and Dr. Samir holding down Emma in the clinic, desperate to prevent her from harming herself.","सोफी और डॉ। समीर ने क्लिनिक में एम्मा को नीचे रखा, उसे खुद को नुकसान पहुंचाने से रोकने के लिए बेताब।"
images/34.jpg,Emma is now subconsious and is captured in the clinic ,एम्मा अब अवचेतन है और क्लिनिक में कब्जा कर लिया गया है
images/35.jpg,Spirit plans an acident to kill Dr. Samir,स्पिरिट ने डॉ। समीर को मारने के लिए एक संयोग की योजना बनाई है
images/36.jpg,Dr. Samir is deeply injured,डॉ। समीर गहराई से घायल हैं
images/37.jpg,Dr. Samir conveying Sophie that his leg is fractured,डॉ। समीर ने सोफी को व्यक्त किया कि उनका पैर फ्रैक्चर हो गया है
images/38.jpg,Dr.Samir doesn’t give up and is still determined to create the antidote,डॉसमिर हार नहीं मानता है और अभी भी एंटीडोट बनाने के लिए दृढ़ है
images/39.jpg,Sophie and Dr.Samir giving their best to make the solution,सोफी और डॉ ।समीर ने समाधान बनाने के लिए अपना सर्वश्रेष्ठ दिया
images/40.jpg,Spirit is now controlling Sophie's mind to kill Dr. Samir as he has cracked the formula,आत्मा अब डॉ। समीर को मारने के लिए सोफी के दिमाग को नियंत्रित कर रही है क्योंकि उसने सूत्र को क्रैक किया है
images/41.jpg,Now Sophie under the influence of spirit stabbs Dr. Samir to death,अब सोफी स्पिरिट के प्रभाव में डॉ। समीर को मौत के लिए छुरा घोंपता है
images/42.jpg,Sophie regains her consciousnes and is in grief of killing Dr. Samir,सोफी ने अपनी चेतना को फिर से हासिल किया और डॉ। समीर को मारने के दुःख में है
images/43.jpg,Sophie trying to remember the antidote formula which Dr. Samir created,"सोफी ने एंटीडोट फॉर्मूला को याद करने की कोशिश की, जिसे डॉ। समीर ने बनाया था"
images/44.jpg,Sophie successful in creating the antidote.,सोफी एंटीडोट बनाने में सफल।
images/45.jpg,"Sophie trying to inject Emma the antidote injection, but spirit is becoming aggressive","सोफी एम्मा एंटीडोट इंजेक्शन को इंजेक्ट करने की कोशिश कर रही है, लेकिन आत्मा आक्रामक हो रही है"
images/46.jpg,Emma under the influence of Spirit is trying to resist Sophie,आत्मा के प्रभाव के तहत एम्मा सोफी का विरोध करने की कोशिश कर रही है
images/47.jpg,Sophie vs. Emma (Spirit),सोफी बनाम एम्मा (आत्मा)
images/48.jpg,Sophie succeeded in injecting the antidote into Emma,सोफी एम्मा में एंटीडोट को इंजेक्ट करने में सफल रही
images/49.jpg,Emma regains her consiousness and free from spirits controle,एम्मा उसकी संदिग्धता और आत्माओं से मुक्त हो जाती है
images/50.jpg,Emma’s Emotional Reunion with Sophie,सोफी के साथ एम्मा का भावनात्मक पुनर्मिलन
images/51.jpg,Emma resuming her normal life,एम्मा ने अपने सामान्य जीवन को फिर से शुरू किया
images/52.jpg,Sophie continuing her other research,सोफी ने अपने अन्य शोध को जारी रखा
images/53.jpg,.,एक सप्ताह बाद
images/54.jpg,"The final chilling shot of the spirit's whisper, ""It’s not over,"" lingering in the air as the screen fades to black.","स्पिरिट की कानाफूसी का अंतिम चिलिंग शॉट, ""इट्स नॉट ओवर,"" हवा में लिंग के रूप में स्क्रीन काले रंग के लिए फीकी पड़ जाती है।"